Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,date,close_price_change
AXISBANK,1506.0,1511.8,1488.1,1500.1,994573,2014-04-22,0
HDFCBANK,721.9,729.6,717.4,727.55,2848956,2014-04-22,1
ICICIBANK,1289.15,1305.0,1281.4,1299.55,5163586,2014-04-23,1
AXISBANK,1492.0,1533.85,1492.0,1519.8,1633806,2014-04-23,1
HDFCBANK,724.9,739.45,722.6,733.0,5256336,2014-04-23,1
HDFCBANK,733.15,738.0,725.0,726.4,1553111,2014-04-25,0
AXISBANK,1522.0,1548.0,1501.15,1532.7,2457432,2014-04-25,1
ICICIBANK,1304.45,1318.5,1256.35,1270.5,4776620,2014-04-25,0
HDFCBANK,722.25,729.25,720.55,725.2,1220715,2014-04-28,0
AXISBANK,1550.0,1554.8,1525.0,1529.55,1773777,2014-04-28,0
ICICIBANK,1275.0,1284.0,1251.15,1275.5,3519532,2014-04-28,1
HDFCBANK,726.4,727.5,712.5,715.8,1660309,2014-04-29,0
ICICIBANK,1276.0,1279.5,1250.6,1262.8,2274118,2014-04-29,0
AXISBANK,1536.0,1544.95,1507.7,1528.4,1196919,2014-04-29,0
ICICIBANK,1268.5,1278.95,1235.0,1243.4,3616169,2014-04-30,0
HDFCBANK,716.0,729.9,711.65,721.3,2196730,2014-04-30,1
AXISBANK,1537.9,1548.5,1497.15,1517.2,1334637,2014-04-30,0
AXISBANK,1525.35,1538.7,1518.5,1530.15,905612,2014-05-02,1
HDFCBANK,723.5,727.55,715.55,717.1,1478823,2014-05-02,0
ICICIBANK,1250.0,1264.2,1247.05,1252.4,1662908,2014-05-02,1
HDFCBANK,719.85,723.1,714.0,716.7,1298081,2014-05-05,0
AXISBANK,1535.95,1564.9,1521.5,1551.55,1445455,2014-05-05,1
ICICIBANK,1246.25,1277.0,1238.0,1252.45,2554953,2014-05-05,1
AXISBANK,1555.0,1563.25,1528.5,1536.95,1067582,2014-05-06,0
ICICIBANK,1264.2,1280.0,1264.2,1275.6,1280978,2014-05-06,1
HDFCBANK,720.2,724.6,714.1,720.2,1546140,2014-05-06,1
AXISBANK,1533.7,1556.0,1516.7,1537.7,1206946,2014-05-07,1
ICICIBANK,1276.0,1277.0,1256.7,1270.65,5150741,2014-05-07,0
HDFCBANK,718.5,727.0,711.45,715.6,1649656,2014-05-07,0
AXISBANK,1542.0,1559.4,1533.0,1553.75,1297102,2014-05-08,1
HDFCBANK,717.15,723.0,715.5,718.3,1880107,2014-05-08,1
ICICIBANK,1274.9,1296.8,1266.25,1289.0,2989081,2014-05-08,1
HDFCBANK,720.0,760.0,720.0,756.8,4094111,2014-05-09,1
AXISBANK,1555.9,1650.0,1547.75,1629.0,2265473,2014-05-09,1
ICICIBANK,1285.15,1390.9,1282.0,1378.6,6259002,2014-05-09,1
ICICIBANK,1382.05,1414.3,1360.15,1398.7,5170567,2014-05-12,1
HDFCBANK,755.1,794.85,754.5,792.15,4390340,2014-05-12,1
AXISBANK,1653.0,1691.75,1639.1,1646.55,1955495,2014-05-12,1
AXISBANK,1675.0,1682.0,1640.0,1648.75,1868632,2014-05-13,1
ICICIBANK,1418.0,1428.0,1393.5,1400.8,4071673,2014-05-13,1
HDFCBANK,800.0,800.0,782.5,788.15,3166304,2014-05-13,0
HDFCBANK,785.0,794.8,774.25,775.45,2125375,2014-05-14,0
ICICIBANK,1387.0,1413.6,1377.2,1409.4,3811176,2014-05-14,1
AXISBANK,1652.0,1670.0,1630.35,1636.5,1342412,2014-05-14,0
HDFCBANK,769.0,791.15,766.05,788.35,2366547,2014-05-15,1
ICICIBANK,1409.4,1409.9,1385.15,1395.1,4072939,2014-05-15,0
AXISBANK,1640.0,1674.9,1639.05,1664.05,1577798,2014-05-15,1
ICICIBANK,1450.0,1593.2,1417.7,1465.3,11729001,2014-05-16,1
HDFCBANK,800.0,854.0,787.65,804.7,8217092,2014-05-16,1
AXISBANK,1750.0,1849.05,1684.0,1755.0,3855077,2014-05-16,1
ICICIBANK,1481.0,1493.55,1445.25,1468.4,7749240,2014-05-19,1
AXISBANK,1777.0,1899.4,1777.0,1859.6,2309376,2014-05-19,1
HDFCBANK,815.9,835.0,808.0,811.9,2630701,2014-05-19,1
ICICIBANK,1479.95,1485.0,1440.5,1449.9,4071714,2014-05-20,0
